,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
422,2020-01-23,中国,CN,河南省,410000,信阳市,411500,1,0,0,0
635,2020-01-24,中国,CN,河南省,410000,信阳市,411500,5,0,0,0
896,2020-01-25,中国,CN,河南省,410000,信阳市,411500,22,0,0,0
1221,2020-01-26,中国,CN,河南省,410000,信阳市,411500,23,0,0,0
1580,2020-01-27,中国,CN,河南省,410000,信阳市,411500,29,0,0,0
1961,2020-01-28,中国,CN,河南省,410000,信阳市,411500,32,0,0,0
2371,2020-01-29,中国,CN,河南省,410000,信阳市,411500,42,0,0,0
2790,2020-01-30,中国,CN,河南省,410000,信阳市,411500,49,0,0,0
3228,2020-01-31,中国,CN,河南省,410000,信阳市,411500,70,0,0,0
3678,2020-02-01,中国,CN,河南省,410000,信阳市,411500,88,0,0,0
4127,2020-02-02,中国,CN,河南省,410000,信阳市,411500,99,0,0,0
4583,2020-02-03,中国,CN,河南省,410000,信阳市,411500,112,0,0,0
5041,2020-02-04,中国,CN,河南省,410000,信阳市,411500,138,0,0,0
5468,2020-02-05,中国,CN,河南省,410000,信阳市,411500,164,0,0,0
5926,2020-02-06,中国,CN,河南省,410000,信阳市,411500,176,0,0,0
6455,2020-02-07,中国,CN,河南省,410000,信阳市,411500,176,0,11,0
6990,2020-02-08,中国,CN,河南省,410000,信阳市,411500,192,0,24,0
7529,2020-02-09,中国,CN,河南省,410000,信阳市,411500,205,0,28,0
8070,2020-02-10,中国,CN,河南省,410000,信阳市,411500,220,0,28,0
8613,2020-02-11,中国,CN,河南省,410000,信阳市,411500,228,0,34,0
9156,2020-02-12,中国,CN,河南省,410000,信阳市,411500,231,0,38,0
9699,2020-02-13,中国,CN,河南省,410000,信阳市,411500,240,0,49,0
10242,2020-02-14,中国,CN,河南省,410000,信阳市,411500,243,0,60,0
10785,2020-02-15,中国,CN,河南省,410000,信阳市,411500,252,0,64,2
11331,2020-02-16,中国,CN,河南省,410000,信阳市,411500,261,0,74,2
11878,2020-02-17,中国,CN,河南省,410000,信阳市,411500,262,0,76,2
12425,2020-02-18,中国,CN,河南省,410000,信阳市,411500,266,0,84,2
12973,2020-02-19,中国,CN,河南省,410000,信阳市,411500,268,0,86,2
13520,2020-02-20,中国,CN,河南省,410000,信阳市,411500,269,0,94,2
14065,2020-02-21,中国,CN,河南省,410000,信阳市,411500,270,0,134,2
14608,2020-02-22,中国,CN,河南省,410000,信阳市,411500,273,0,148,2
15149,2020-02-23,中国,CN,河南省,410000,信阳市,411500,274,0,171,2
15693,2020-02-24,中国,CN,河南省,410000,信阳市,411500,274,0,191,2
16239,2020-02-25,中国,CN,河南省,410000,信阳市,411500,274,0,208,2
16789,2020-02-26,中国,CN,河南省,410000,信阳市,411500,274,0,209,2
17342,2020-02-27,中国,CN,河南省,410000,信阳市,411500,274,0,227,2
17903,2020-02-28,中国,CN,河南省,410000,信阳市,411500,274,0,232,2
18470,2020-02-29,中国,CN,河南省,410000,信阳市,411500,274,0,258,2
19040,2020-03-01,中国,CN,河南省,410000,信阳市,411500,274,0,261,2
19615,2020-03-02,中国,CN,河南省,410000,信阳市,411500,274,0,262,2
20197,2020-03-03,中国,CN,河南省,410000,信阳市,411500,274,0,267,2
20785,2020-03-04,中国,CN,河南省,410000,信阳市,411500,274,0,267,2
21375,2020-03-05,中国,CN,河南省,410000,信阳市,411500,274,0,269,2
21973,2020-03-06,中国,CN,河南省,410000,信阳市,411500,274,0,270,2
22575,2020-03-07,中国,CN,河南省,410000,信阳市,411500,274,0,270,2
23185,2020-03-08,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
23803,2020-03-09,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
24427,2020-03-10,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
25059,2020-03-11,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
25693,2020-03-12,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
26327,2020-03-13,中国,CN,河南省,410000,信阳市,411500,274,0,271,2
26974,2020-03-14,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
27631,2020-03-15,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
28297,2020-03-16,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
28971,2020-03-17,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
29648,2020-03-18,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
30335,2020-03-19,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
31028,2020-03-20,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
31725,2020-03-21,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
32432,2020-03-22,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
33141,2020-03-23,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
33853,2020-03-24,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
34580,2020-03-25,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
35309,2020-03-26,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
36040,2020-03-27,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
36773,2020-03-28,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
37509,2020-03-29,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
38246,2020-03-30,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
38985,2020-03-31,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
39726,2020-04-01,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
40466,2020-04-02,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
41206,2020-04-03,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
41947,2020-04-04,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
42688,2020-04-05,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
43432,2020-04-06,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
44178,2020-04-07,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
44924,2020-04-08,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
45670,2020-04-09,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
46416,2020-04-10,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
47163,2020-04-11,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
47911,2020-04-12,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
48658,2020-04-13,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
49405,2020-04-14,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
50152,2020-04-15,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
50899,2020-04-16,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
51648,2020-04-17,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
52396,2020-04-18,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
53144,2020-04-19,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
53892,2020-04-20,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
54640,2020-04-21,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
55388,2020-04-22,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
56136,2020-04-23,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
56884,2020-04-24,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
57632,2020-04-25,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
58380,2020-04-26,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
59128,2020-04-27,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
59876,2020-04-28,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
60624,2020-04-29,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
61372,2020-04-30,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
62121,2020-05-01,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
62871,2020-05-02,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
63621,2020-05-03,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
64364,2020-05-04,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
65113,2020-05-05,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
65862,2020-05-06,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
66611,2020-05-07,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
67360,2020-05-08,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
68109,2020-05-09,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
68858,2020-05-10,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
69607,2020-05-11,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
70357,2020-05-12,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
71106,2020-05-13,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
71856,2020-05-14,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
72606,2020-05-15,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
73356,2020-05-16,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
74107,2020-05-17,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
74858,2020-05-18,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
75609,2020-05-19,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
76360,2020-05-20,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
77111,2020-05-21,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
77862,2020-05-22,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
78613,2020-05-23,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
79364,2020-05-24,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
80114,2020-05-25,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
80864,2020-05-26,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
81614,2020-05-27,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
82364,2020-05-28,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
83114,2020-05-29,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
83864,2020-05-30,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
84613,2020-05-31,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
85362,2020-06-01,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
86111,2020-06-02,中国,CN,河南省,410000,信阳市,411500,274,0,272,2
