,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
429,2020-01-23,中国,CN,湖北省,420000,孝感市,420900,22,0,0,0
645,2020-01-24,中国,CN,湖北省,420000,孝感市,420900,26,0,0,0
907,2020-01-25,中国,CN,湖北省,420000,孝感市,420900,55,0,0,0
1232,2020-01-26,中国,CN,湖北省,420000,孝感市,420900,100,0,0,1
1591,2020-01-27,中国,CN,湖北省,420000,孝感市,420900,173,0,0,1
1972,2020-01-28,中国,CN,湖北省,420000,孝感市,420900,274,0,0,3
2382,2020-01-29,中国,CN,湖北省,420000,孝感市,420900,399,0,0,6
2801,2020-01-30,中国,CN,湖北省,420000,孝感市,420900,541,0,0,9
3240,2020-01-31,中国,CN,湖北省,420000,孝感市,420900,628,0,0,12
3690,2020-02-01,中国,CN,湖北省,420000,孝感市,420900,749,0,0,14
4140,2020-02-02,中国,CN,湖北省,420000,孝感市,420900,918,0,0,14
4596,2020-02-03,中国,CN,湖北省,420000,孝感市,420900,1120,0,0,17
5053,2020-02-04,中国,CN,湖北省,420000,孝感市,420900,1462,0,0,18
5480,2020-02-05,中国,CN,湖北省,420000,孝感市,420900,1886,0,0,25
5938,2020-02-06,中国,CN,湖北省,420000,孝感市,420900,2141,0,0,25
6468,2020-02-07,中国,CN,湖北省,420000,孝感市,420900,2141,0,25,25
7003,2020-02-08,中国,CN,湖北省,420000,孝感市,420900,2313,0,42,26
7542,2020-02-09,中国,CN,湖北省,420000,孝感市,420900,2436,0,50,29
8083,2020-02-10,中国,CN,湖北省,420000,孝感市,420900,2541,0,81,33
8626,2020-02-11,中国,CN,湖北省,420000,孝感市,420900,2642,0,139,41
9169,2020-02-12,中国,CN,湖北省,420000,孝感市,420900,2751,0,179,45
9712,2020-02-13,中国,CN,湖北省,420000,孝感市,420900,2874,0,209,49
10255,2020-02-14,中国,CN,湖北省,420000,孝感市,420900,3009,0,255,57
10798,2020-02-15,中国,CN,湖北省,420000,孝感市,420900,3114,0,313,62
11344,2020-02-16,中国,CN,湖北省,420000,孝感市,420900,3201,0,380,65
11891,2020-02-17,中国,CN,湖北省,420000,孝感市,420900,3279,0,449,70
12438,2020-02-18,中国,CN,湖北省,420000,孝感市,420900,3320,0,523,75
12986,2020-02-19,中国,CN,湖北省,420000,孝感市,420900,3344,0,572,82
13533,2020-02-20,中国,CN,湖北省,420000,孝感市,420900,3329,0,673,89
14078,2020-02-21,中国,CN,湖北省,420000,孝感市,420900,3427,0,771,94
14621,2020-02-22,中国,CN,湖北省,420000,孝感市,420900,3429,0,917,98
15162,2020-02-23,中国,CN,湖北省,420000,孝感市,420900,3443,0,1078,102
15706,2020-02-24,中国,CN,湖北省,420000,孝感市,420900,3465,0,1177,108
16252,2020-02-25,中国,CN,湖北省,420000,孝感市,420900,3482,0,1328,110
16802,2020-02-26,中国,CN,湖北省,420000,孝感市,420900,3501,0,1388,113
17355,2020-02-27,中国,CN,湖北省,420000,孝感市,420900,3516,0,1625,113
17916,2020-02-28,中国,CN,湖北省,420000,孝感市,420900,3517,0,1829,114
18483,2020-02-29,中国,CN,湖北省,420000,孝感市,420900,3518,0,2047,115
19053,2020-03-01,中国,CN,湖北省,420000,孝感市,420900,3518,0,2215,118
19628,2020-03-02,中国,CN,湖北省,420000,孝感市,420900,3518,0,2397,120
20210,2020-03-03,中国,CN,湖北省,420000,孝感市,420900,3518,0,2560,120
20798,2020-03-04,中国,CN,湖北省,420000,孝感市,420900,3518,0,2713,120
21388,2020-03-05,中国,CN,湖北省,420000,孝感市,420900,3518,0,2821,121
21986,2020-03-06,中国,CN,湖北省,420000,孝感市,420900,3518,0,2911,123
22588,2020-03-07,中国,CN,湖北省,420000,孝感市,420900,3518,0,2972,123
23198,2020-03-08,中国,CN,湖北省,420000,孝感市,420900,3518,0,3024,125
23816,2020-03-09,中国,CN,湖北省,420000,孝感市,420900,3518,0,3057,126
24440,2020-03-10,中国,CN,湖北省,420000,孝感市,420900,3518,0,3111,126
25072,2020-03-11,中国,CN,湖北省,420000,孝感市,420900,3518,0,3149,126
25706,2020-03-12,中国,CN,湖北省,420000,孝感市,420900,3518,0,3179,126
26340,2020-03-13,中国,CN,湖北省,420000,孝感市,420900,3518,0,3204,126
26987,2020-03-14,中国,CN,湖北省,420000,孝感市,420900,3518,0,3237,126
27644,2020-03-15,中国,CN,湖北省,420000,孝感市,420900,3518,0,3253,126
28310,2020-03-16,中国,CN,湖北省,420000,孝感市,420900,3518,0,3266,127
28984,2020-03-17,中国,CN,湖北省,420000,孝感市,420900,3518,0,3278,127
29661,2020-03-18,中国,CN,湖北省,420000,孝感市,420900,3518,0,3297,128
30348,2020-03-19,中国,CN,湖北省,420000,孝感市,420900,3518,0,3324,128
31041,2020-03-20,中国,CN,湖北省,420000,孝感市,420900,3518,0,3349,128
31738,2020-03-21,中国,CN,湖北省,420000,孝感市,420900,3518,0,3360,128
32445,2020-03-22,中国,CN,湖北省,420000,孝感市,420900,3518,0,3366,128
33154,2020-03-23,中国,CN,湖北省,420000,孝感市,420900,3518,0,3369,128
33867,2020-03-24,中国,CN,湖北省,420000,孝感市,420900,3518,0,3376,128
34594,2020-03-25,中国,CN,湖北省,420000,孝感市,420900,3518,0,3380,128
35323,2020-03-26,中国,CN,湖北省,420000,孝感市,420900,3518,0,3383,128
36054,2020-03-27,中国,CN,湖北省,420000,孝感市,420900,3518,0,3386,128
36787,2020-03-28,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
37523,2020-03-29,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
38260,2020-03-30,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
38999,2020-03-31,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
39740,2020-04-01,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
40480,2020-04-02,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
41220,2020-04-03,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
41961,2020-04-04,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
42702,2020-04-05,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,128
43446,2020-04-06,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
44192,2020-04-07,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
44938,2020-04-08,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
45684,2020-04-09,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
46430,2020-04-10,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
47178,2020-04-11,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
47925,2020-04-12,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
48672,2020-04-13,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
49419,2020-04-14,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
50166,2020-04-15,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
50913,2020-04-16,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
51662,2020-04-17,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
52410,2020-04-18,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
53158,2020-04-19,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
53906,2020-04-20,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
54654,2020-04-21,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
55402,2020-04-22,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
56150,2020-04-23,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
56898,2020-04-24,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
57646,2020-04-25,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
58394,2020-04-26,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
59142,2020-04-27,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
59890,2020-04-28,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
60638,2020-04-29,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
61386,2020-04-30,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
62135,2020-05-01,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
62885,2020-05-02,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
63635,2020-05-03,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
64378,2020-05-04,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
65127,2020-05-05,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
65876,2020-05-06,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
66625,2020-05-07,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
67374,2020-05-08,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
68123,2020-05-09,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
68872,2020-05-10,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
69621,2020-05-11,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
70371,2020-05-12,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
71120,2020-05-13,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
71870,2020-05-14,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
72620,2020-05-15,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
73370,2020-05-16,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
74121,2020-05-17,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
74872,2020-05-18,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
75623,2020-05-19,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
76374,2020-05-20,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
77125,2020-05-21,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
77876,2020-05-22,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
78627,2020-05-23,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
79378,2020-05-24,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
80128,2020-05-25,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
80878,2020-05-26,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
81628,2020-05-27,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
82378,2020-05-28,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
83128,2020-05-29,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
83878,2020-05-30,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
84627,2020-05-31,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
85376,2020-06-01,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
86125,2020-06-02,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
86875,2020-06-03,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
87625,2020-06-04,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
88375,2020-06-05,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
89125,2020-06-06,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
89875,2020-06-07,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
90625,2020-06-08,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
91375,2020-06-09,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
92125,2020-06-10,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
92875,2020-06-11,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
93625,2020-06-12,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
94375,2020-06-13,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
95125,2020-06-14,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
95876,2020-06-15,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
96630,2020-06-16,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
97384,2020-06-17,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
98138,2020-06-18,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
98892,2020-06-19,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
99646,2020-06-20,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
100400,2020-06-21,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
101154,2020-06-22,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
101907,2020-06-23,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
102660,2020-06-24,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
103413,2020-06-25,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
104166,2020-06-26,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
104919,2020-06-27,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
105672,2020-06-28,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
106425,2020-06-29,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
107179,2020-06-30,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
107933,2020-07-01,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
108687,2020-07-02,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
109441,2020-07-03,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
110195,2020-07-04,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
110949,2020-07-05,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
111703,2020-07-06,中国,CN,湖北省,420000,孝感市,420900,3518,0,3389,129
