,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
207,2020-01-21,中国,CN,广东省,440000,广州市,440100,2,0,0,0
286,2020-01-22,中国,CN,广东省,440000,广州市,440100,5,0,0,0
443,2020-01-23,中国,CN,广东省,440000,广州市,440100,7,0,0,0
666,2020-01-24,中国,CN,广东省,440000,广州市,440100,14,0,0,0
930,2020-01-25,中国,CN,广东省,440000,广州市,440100,14,0,0,0
1256,2020-01-26,中国,CN,广东省,440000,广州市,440100,39,0,0,0
1616,2020-01-27,中国,CN,广东省,440000,广州市,440100,51,0,0,0
1997,2020-01-28,中国,CN,广东省,440000,广州市,440100,63,0,0,0
2408,2020-01-29,中国,CN,广东省,440000,广州市,440100,79,0,0,0
2827,2020-01-30,中国,CN,广东省,440000,广州市,440100,106,0,0,0
3266,2020-01-31,中国,CN,广东省,440000,广州市,440100,137,0,0,0
3716,2020-02-01,中国,CN,广东省,440000,广州市,440100,175,0,0,0
4166,2020-02-02,中国,CN,广东省,440000,广州市,440100,189,0,0,0
4622,2020-02-03,中国,CN,广东省,440000,广州市,440100,216,0,0,0
5079,2020-02-04,中国,CN,广东省,440000,广州市,440100,237,0,0,0
5506,2020-02-05,中国,CN,广东省,440000,广州市,440100,255,0,0,0
5964,2020-02-06,中国,CN,广东省,440000,广州市,440100,284,0,0,0
6494,2020-02-07,中国,CN,广东省,440000,广州市,440100,285,0,21,0
7030,2020-02-08,中国,CN,广东省,440000,广州市,440100,301,0,27,0
7569,2020-02-09,中国,CN,广东省,440000,广州市,440100,307,0,41,0
8110,2020-02-10,中国,CN,广东省,440000,广州市,440100,314,0,43,0
8653,2020-02-11,中国,CN,广东省,440000,广州市,440100,317,0,49,0
9196,2020-02-12,中国,CN,广东省,440000,广州市,440100,323,0,71,0
9739,2020-02-13,中国,CN,广东省,440000,广州市,440100,327,0,78,0
10282,2020-02-14,中国,CN,广东省,440000,广州市,440100,328,0,93,0
10825,2020-02-15,中国,CN,广东省,440000,广州市,440100,335,0,111,0
11371,2020-02-16,中国,CN,广东省,440000,广州市,440100,338,0,121,0
11918,2020-02-17,中国,CN,广东省,440000,广州市,440100,339,0,131,0
12465,2020-02-18,中国,CN,广东省,440000,广州市,440100,339,0,142,0
13013,2020-02-19,中国,CN,广东省,440000,广州市,440100,339,0,148,0
13560,2020-02-20,中国,CN,广东省,440000,广州市,440100,339,0,157,0
14105,2020-02-21,中国,CN,广东省,440000,广州市,440100,339,0,172,0
14648,2020-02-22,中国,CN,广东省,440000,广州市,440100,343,0,190,0
15189,2020-02-23,中国,CN,广东省,440000,广州市,440100,345,0,196,0
15733,2020-02-24,中国,CN,广东省,440000,广州市,440100,345,0,204,0
16279,2020-02-25,中国,CN,广东省,440000,广州市,440100,346,0,210,1
16829,2020-02-26,中国,CN,广东省,440000,广州市,440100,346,0,222,1
17382,2020-02-27,中国,CN,广东省,440000,广州市,440100,346,0,230,1
17943,2020-02-28,中国,CN,广东省,440000,广州市,440100,346,0,240,1
18510,2020-02-29,中国,CN,广东省,440000,广州市,440100,346,0,248,1
19080,2020-03-01,中国,CN,广东省,440000,广州市,440100,346,0,260,1
19655,2020-03-02,中国,CN,广东省,440000,广州市,440100,346,0,264,1
20237,2020-03-03,中国,CN,广东省,440000,广州市,440100,346,0,272,1
20825,2020-03-04,中国,CN,广东省,440000,广州市,440100,346,0,283,1
21415,2020-03-05,中国,CN,广东省,440000,广州市,440100,347,0,292,1
22013,2020-03-06,中国,CN,广东省,440000,广州市,440100,347,0,309,1
22615,2020-03-07,中国,CN,广东省,440000,广州市,440100,347,0,318,1
23225,2020-03-08,中国,CN,广东省,440000,广州市,440100,347,0,321,1
23843,2020-03-09,中国,CN,广东省,440000,广州市,440100,347,0,322,1
24467,2020-03-10,中国,CN,广东省,440000,广州市,440100,347,0,325,1
25099,2020-03-11,中国,CN,广东省,440000,广州市,440100,347,0,326,1
25733,2020-03-12,中国,CN,广东省,440000,广州市,440100,347,0,326,1
26367,2020-03-13,中国,CN,广东省,440000,广州市,440100,347,0,330,1
27014,2020-03-14,中国,CN,广东省,440000,广州市,440100,347,0,330,1
27671,2020-03-15,中国,CN,广东省,440000,广州市,440100,348,0,330,1
28337,2020-03-16,中国,CN,广东省,440000,广州市,440100,348,0,330,1
29011,2020-03-17,中国,CN,广东省,440000,广州市,440100,351,0,330,1
29688,2020-03-18,中国,CN,广东省,440000,广州市,440100,354,0,331,1
30375,2020-03-19,中国,CN,广东省,440000,广州市,440100,359,0,331,1
31068,2020-03-20,中国,CN,广东省,440000,广州市,440100,366,0,334,1
31765,2020-03-21,中国,CN,广东省,440000,广州市,440100,366,0,335,1
32472,2020-03-22,中国,CN,广东省,440000,广州市,440100,369,0,335,1
33181,2020-03-23,中国,CN,广东省,440000,广州市,440100,373,0,336,1
33896,2020-03-24,中国,CN,广东省,440000,广州市,440100,384,0,336,1
34623,2020-03-25,中国,CN,广东省,440000,广州市,440100,388,0,337,1
35352,2020-03-26,中国,CN,广东省,440000,广州市,440100,400,0,338,1
36083,2020-03-27,中国,CN,广东省,440000,广州市,440100,406,0,338,1
36816,2020-03-28,中国,CN,广东省,440000,广州市,440100,414,0,342,1
37552,2020-03-29,中国,CN,广东省,440000,广州市,440100,420,0,347,1
38289,2020-03-30,中国,CN,广东省,440000,广州市,440100,427,0,349,1
39028,2020-03-31,中国,CN,广东省,440000,广州市,440100,435,0,349,1
39769,2020-04-01,中国,CN,广东省,440000,广州市,440100,440,0,354,1
40509,2020-04-02,中国,CN,广东省,440000,广州市,440100,446,0,360,1
41249,2020-04-03,中国,CN,广东省,440000,广州市,440100,451,0,363,1
41990,2020-04-04,中国,CN,广东省,440000,广州市,440100,451,0,372,1
42731,2020-04-05,中国,CN,广东省,440000,广州市,440100,456,0,380,1
43475,2020-04-06,中国,CN,广东省,440000,广州市,440100,463,0,387,1
44221,2020-04-07,中国,CN,广东省,440000,广州市,440100,463,0,387,1
44967,2020-04-08,中国,CN,广东省,440000,广州市,440100,464,0,401,1
45713,2020-04-09,中国,CN,广东省,440000,广州市,440100,467,0,411,1
46459,2020-04-10,中国,CN,广东省,440000,广州市,440100,471,0,421,1
47207,2020-04-11,中国,CN,广东省,440000,广州市,440100,475,0,424,1
47954,2020-04-12,中国,CN,广东省,440000,广州市,440100,479,0,430,1
48701,2020-04-13,中国,CN,广东省,440000,广州市,440100,482,0,441,1
49448,2020-04-14,中国,CN,广东省,440000,广州市,440100,488,0,442,1
50195,2020-04-15,中国,CN,广东省,440000,广州市,440100,490,0,442,1
50942,2020-04-16,中国,CN,广东省,440000,广州市,440100,494,0,449,1
51691,2020-04-17,中国,CN,广东省,440000,广州市,440100,499,0,449,1
52439,2020-04-18,中国,CN,广东省,440000,广州市,440100,499,0,457,1
53187,2020-04-19,中国,CN,广东省,440000,广州市,440100,499,0,463,1
53935,2020-04-20,中国,CN,广东省,440000,广州市,440100,500,0,465,1
54683,2020-04-21,中国,CN,广东省,440000,广州市,440100,500,0,465,1
55431,2020-04-22,中国,CN,广东省,440000,广州市,440100,500,0,472,1
56179,2020-04-23,中国,CN,广东省,440000,广州市,440100,501,0,477,1
56927,2020-04-24,中国,CN,广东省,440000,广州市,440100,502,0,479,1
57675,2020-04-25,中国,CN,广东省,440000,广州市,440100,502,0,483,1
58423,2020-04-26,中国,CN,广东省,440000,广州市,440100,503,0,488,1
59171,2020-04-27,中国,CN,广东省,440000,广州市,440100,504,0,488,1
59919,2020-04-28,中国,CN,广东省,440000,广州市,440100,504,0,489,1
60667,2020-04-29,中国,CN,广东省,440000,广州市,440100,504,0,491,1
61415,2020-04-30,中国,CN,广东省,440000,广州市,440100,504,0,491,1
62164,2020-05-01,中国,CN,广东省,440000,广州市,440100,504,0,498,1
62914,2020-05-02,中国,CN,广东省,440000,广州市,440100,504,0,498,1
63664,2020-05-03,中国,CN,广东省,440000,广州市,440100,504,0,498,1
64406,2020-05-04,中国,CN,广东省,440000,广州市,440100,504,0,498,1
65155,2020-05-05,中国,CN,广东省,440000,广州市,440100,504,0,499,1
65904,2020-05-06,中国,CN,广东省,440000,广州市,440100,504,0,501,1
66653,2020-05-07,中国,CN,广东省,440000,广州市,440100,505,0,501,1
67402,2020-05-08,中国,CN,广东省,440000,广州市,440100,505,0,501,1
68151,2020-05-09,中国,CN,广东省,440000,广州市,440100,505,0,501,1
68900,2020-05-10,中国,CN,广东省,440000,广州市,440100,505,0,501,1
69650,2020-05-11,中国,CN,广东省,440000,广州市,440100,505,0,501,1
70399,2020-05-12,中国,CN,广东省,440000,广州市,440100,505,0,503,1
71148,2020-05-13,中国,CN,广东省,440000,广州市,440100,505,0,503,1
71898,2020-05-14,中国,CN,广东省,440000,广州市,440100,505,0,503,1
72648,2020-05-15,中国,CN,广东省,440000,广州市,440100,505,0,503,1
73398,2020-05-16,中国,CN,广东省,440000,广州市,440100,505,0,503,1
74149,2020-05-17,中国,CN,广东省,440000,广州市,440100,506,0,503,1
74900,2020-05-18,中国,CN,广东省,440000,广州市,440100,506,0,503,1
75651,2020-05-19,中国,CN,广东省,440000,广州市,440100,506,0,503,1
76402,2020-05-20,中国,CN,广东省,440000,广州市,440100,506,0,503,1
77153,2020-05-21,中国,CN,广东省,440000,广州市,440100,507,0,503,1
77904,2020-05-22,中国,CN,广东省,440000,广州市,440100,507,0,503,1
78655,2020-05-23,中国,CN,广东省,440000,广州市,440100,507,0,503,1
79406,2020-05-24,中国,CN,广东省,440000,广州市,440100,508,0,503,1
80156,2020-05-25,中国,CN,广东省,440000,广州市,440100,508,0,504,1
80906,2020-05-26,中国,CN,广东省,440000,广州市,440100,508,0,504,1
81656,2020-05-27,中国,CN,广东省,440000,广州市,440100,508,0,504,1
82406,2020-05-28,中国,CN,广东省,440000,广州市,440100,508,0,505,1
83156,2020-05-29,中国,CN,广东省,440000,广州市,440100,508,0,505,1
83906,2020-05-30,中国,CN,广东省,440000,广州市,440100,509,0,506,1
84655,2020-05-31,中国,CN,广东省,440000,广州市,440100,509,0,506,1
85404,2020-06-01,中国,CN,广东省,440000,广州市,440100,511,0,506,1
86153,2020-06-02,中国,CN,广东省,440000,广州市,440100,512,0,506,1
86903,2020-06-03,中国,CN,广东省,440000,广州市,440100,513,0,506,1
87653,2020-06-04,中国,CN,广东省,440000,广州市,440100,514,0,506,1
88403,2020-06-05,中国,CN,广东省,440000,广州市,440100,514,0,507,1
89153,2020-06-06,中国,CN,广东省,440000,广州市,440100,517,0,507,1
89903,2020-06-07,中国,CN,广东省,440000,广州市,440100,518,0,507,1
