,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2,2019-12-01,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
5,2019-12-02,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
8,2019-12-03,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
11,2019-12-04,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
14,2019-12-05,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
17,2019-12-06,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
20,2019-12-07,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
23,2019-12-08,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
26,2019-12-09,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
29,2019-12-10,中国,CN,湖北省,420000,武汉市,420100,1,0,0,0
32,2019-12-11,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
35,2019-12-12,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
38,2019-12-13,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
41,2019-12-14,中国,CN,湖北省,420000,武汉市,420100,4,0,0,0
44,2019-12-15,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
47,2019-12-16,中国,CN,湖北省,420000,武汉市,420100,6,0,0,0
50,2019-12-17,中国,CN,湖北省,420000,武汉市,420100,7,0,0,0
53,2019-12-18,中国,CN,湖北省,420000,武汉市,420100,8,0,0,0
56,2019-12-19,中国,CN,湖北省,420000,武汉市,420100,9,0,0,0
59,2019-12-20,中国,CN,湖北省,420000,武汉市,420100,14,0,0,0
62,2019-12-21,中国,CN,湖北省,420000,武汉市,420100,18,0,0,0
65,2019-12-22,中国,CN,湖北省,420000,武汉市,420100,21,0,0,0
68,2019-12-23,中国,CN,湖北省,420000,武汉市,420100,29,0,0,0
71,2019-12-24,中国,CN,湖北省,420000,武汉市,420100,30,0,0,0
74,2019-12-25,中国,CN,湖北省,420000,武汉市,420100,33,0,0,0
77,2019-12-26,中国,CN,湖北省,420000,武汉市,420100,35,0,0,0
80,2019-12-27,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
83,2019-12-28,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
86,2019-12-29,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
89,2019-12-30,中国,CN,湖北省,420000,武汉市,420100,37,0,0,0
92,2019-12-31,中国,CN,湖北省,420000,武汉市,420100,40,0,0,0
95,2020-01-01,中国,CN,湖北省,420000,武汉市,420100,43,0,0,0
98,2020-01-02,中国,CN,湖北省,420000,武汉市,420100,44,0,0,0
101,2020-01-03,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
104,2020-01-04,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
107,2020-01-05,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
110,2020-01-06,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
113,2020-01-07,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
116,2020-01-08,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
119,2020-01-09,中国,CN,湖北省,420000,武汉市,420100,41,0,0,0
122,2020-01-10,中国,CN,湖北省,420000,武汉市,420100,41,0,2,1
125,2020-01-11,中国,CN,湖北省,420000,武汉市,420100,41,0,6,1
128,2020-01-12,中国,CN,湖北省,420000,武汉市,420100,41,0,7,1
131,2020-01-13,中国,CN,湖北省,420000,武汉市,420100,41,0,7,1
134,2020-01-14,中国,CN,湖北省,420000,武汉市,420100,41,0,7,1
137,2020-01-15,中国,CN,湖北省,420000,武汉市,420100,41,0,12,2
140,2020-01-16,中国,CN,湖北省,420000,武汉市,420100,45,0,15,2
145,2020-01-17,中国,CN,湖北省,420000,武汉市,420100,62,0,19,2
148,2020-01-18,中国,CN,湖北省,420000,武汉市,420100,121,0,24,3
151,2020-01-19,中国,CN,湖北省,420000,武汉市,420100,198,0,25,3
425,2020-01-23,中国,CN,湖北省,420000,武汉市,420100,495,0,0,0
640,2020-01-24,中国,CN,湖北省,420000,武汉市,420100,572,0,0,38
900,2020-01-25,中国,CN,湖北省,420000,武汉市,420100,618,0,40,45
1225,2020-01-26,中国,CN,湖北省,420000,武汉市,420100,698,0,42,63
1584,2020-01-27,中国,CN,湖北省,420000,武汉市,420100,1590,0,0,85
1965,2020-01-28,中国,CN,湖北省,420000,武汉市,420100,1905,0,0,104
2375,2020-01-29,中国,CN,湖北省,420000,武汉市,420100,2261,0,0,129
2794,2020-01-30,中国,CN,湖北省,420000,武汉市,420100,2639,0,0,159
3233,2020-01-31,中国,CN,湖北省,420000,武汉市,420100,3215,0,0,192
3683,2020-02-01,中国,CN,湖北省,420000,武汉市,420100,4109,0,0,224
4133,2020-02-02,中国,CN,湖北省,420000,武汉市,420100,5142,0,0,265
4589,2020-02-03,中国,CN,湖北省,420000,武汉市,420100,6384,0,0,313
5046,2020-02-04,中国,CN,湖北省,420000,武汉市,420100,8351,0,0,362
5473,2020-02-05,中国,CN,湖北省,420000,武汉市,420100,10117,0,0,414
5931,2020-02-06,中国,CN,湖北省,420000,武汉市,420100,11618,0,0,478
6461,2020-02-07,中国,CN,湖北省,420000,武汉市,420100,11618,0,498,478
6996,2020-02-08,中国,CN,湖北省,420000,武汉市,420100,13603,0,662,545
7535,2020-02-09,中国,CN,湖北省,420000,武汉市,420100,14982,0,841,608
8076,2020-02-10,中国,CN,湖北省,420000,武汉市,420100,16902,0,1044,681
8619,2020-02-11,中国,CN,湖北省,420000,武汉市,420100,18454,0,1243,748
9162,2020-02-12,中国,CN,湖北省,420000,武汉市,420100,19558,0,1377,820
9705,2020-02-13,中国,CN,湖北省,420000,武汉市,420100,32994,0,1922,1036
10248,2020-02-14,中国,CN,湖北省,420000,武汉市,420100,35991,0,2016,1016
10791,2020-02-15,中国,CN,湖北省,420000,武汉市,420100,37914,0,2602,1123
11337,2020-02-16,中国,CN,湖北省,420000,武汉市,420100,39462,0,2937,1233
11884,2020-02-17,中国,CN,湖北省,420000,武汉市,420100,41152,0,3458,1309
12431,2020-02-18,中国,CN,湖北省,420000,武汉市,420100,42752,0,4253,1381
12979,2020-02-19,中国,CN,湖北省,420000,武汉市,420100,44412,0,4990,1497
13526,2020-02-20,中国,CN,湖北省,420000,武汉市,420100,45027,0,5573,1585
14071,2020-02-21,中国,CN,湖北省,420000,武汉市,420100,45346,0,6280,1684
14614,2020-02-22,中国,CN,湖北省,420000,武汉市,420100,45660,0,7278,1774
15155,2020-02-23,中国,CN,湖北省,420000,武汉市,420100,46201,0,8186,1856
15699,2020-02-24,中国,CN,湖北省,420000,武汉市,420100,46607,0,8950,1987
16245,2020-02-25,中国,CN,湖北省,420000,武汉市,420100,47071,0,10364,2043
16795,2020-02-26,中国,CN,湖北省,420000,武汉市,420100,47441,0,11816,2085
17348,2020-02-27,中国,CN,湖北省,420000,武汉市,420100,47824,0,13474,2104
17909,2020-02-28,中国,CN,湖北省,420000,武汉市,420100,48137,0,15853,2132
18476,2020-02-29,中国,CN,湖北省,420000,武汉市,420100,48557,0,17656,2169
19046,2020-03-01,中国,CN,湖北省,420000,武汉市,420100,49122,0,19534,2195
19621,2020-03-02,中国,CN,湖北省,420000,武汉市,420100,49315,0,21349,2227
20203,2020-03-03,中国,CN,湖北省,420000,武汉市,420100,49426,0,23063,2252
20791,2020-03-04,中国,CN,湖北省,420000,武汉市,420100,49540,0,24892,2282
21381,2020-03-05,中国,CN,湖北省,420000,武汉市,420100,49671,0,26404,2305
21979,2020-03-06,中国,CN,湖北省,420000,武汉市,420100,49797,0,27420,2328
22581,2020-03-07,中国,CN,湖北省,420000,武汉市,420100,49871,0,28563,2349
23191,2020-03-08,中国,CN,湖北省,420000,武汉市,420100,49912,0,29908,2370
23809,2020-03-09,中国,CN,湖北省,420000,武汉市,420100,49948,0,30985,2389
24433,2020-03-10,中国,CN,湖北省,420000,武汉市,420100,49965,0,31974,2404
25065,2020-03-11,中国,CN,湖北省,420000,武汉市,420100,49978,0,33117,2423
