,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
153,2020-01-19,中国,CN,广东省,440000,深圳市,440300,1,0,0,0
209,2020-01-21,中国,CN,广东省,440000,深圳市,440300,14,0,0,0
288,2020-01-22,中国,CN,广东省,440000,深圳市,440300,15,0,0,0
445,2020-01-23,中国,CN,广东省,440000,深圳市,440300,15,0,2,0
668,2020-01-24,中国,CN,广东省,440000,深圳市,440300,20,0,2,0
932,2020-01-25,中国,CN,广东省,440000,深圳市,440300,27,0,2,0
1258,2020-01-26,中国,CN,广东省,440000,深圳市,440300,36,0,2,0
1618,2020-01-27,中国,CN,广东省,440000,深圳市,440300,49,0,2,0
1999,2020-01-28,中国,CN,广东省,440000,深圳市,440300,63,0,2,0
2410,2020-01-29,中国,CN,广东省,440000,深圳市,440300,86,0,2,0
2829,2020-01-30,中国,CN,广东省,440000,深圳市,440300,110,0,2,0
3268,2020-01-31,中国,CN,广东省,440000,深圳市,440300,170,0,0,0
3718,2020-02-01,中国,CN,广东省,440000,深圳市,440300,196,0,0,0
4168,2020-02-02,中国,CN,广东省,440000,深圳市,440300,226,0,0,0
4624,2020-02-03,中国,CN,广东省,440000,深圳市,440300,269,0,0,0
5081,2020-02-04,中国,CN,广东省,440000,深圳市,440300,289,0,0,0
5508,2020-02-05,中国,CN,广东省,440000,深圳市,440300,314,0,0,0
5966,2020-02-06,中国,CN,广东省,440000,深圳市,440300,334,0,0,0
6496,2020-02-07,中国,CN,广东省,440000,深圳市,440300,339,0,31,0
7032,2020-02-08,中国,CN,广东省,440000,深圳市,440300,354,0,39,0
7571,2020-02-09,中国,CN,广东省,440000,深圳市,440300,366,0,46,0
8112,2020-02-10,中国,CN,广东省,440000,深圳市,440300,369,0,56,0
8655,2020-02-11,中国,CN,广东省,440000,深圳市,440300,375,0,66,0
9198,2020-02-12,中国,CN,广东省,440000,深圳市,440300,386,0,82,0
9741,2020-02-13,中国,CN,广东省,440000,深圳市,440300,391,0,94,0
10284,2020-02-14,中国,CN,广东省,440000,深圳市,440300,400,0,104,0
10827,2020-02-15,中国,CN,广东省,440000,深圳市,440300,406,0,115,0
11373,2020-02-16,中国,CN,广东省,440000,深圳市,440300,414,0,131,0
11920,2020-02-17,中国,CN,广东省,440000,深圳市,440300,415,0,152,2
12467,2020-02-18,中国,CN,广东省,440000,深圳市,440300,416,0,163,2
13015,2020-02-19,中国,CN,广东省,440000,深圳市,440300,416,0,182,2
13562,2020-02-20,中国,CN,广东省,440000,深圳市,440300,416,0,199,2
14107,2020-02-21,中国,CN,广东省,440000,深圳市,440300,416,0,222,2
14650,2020-02-22,中国,CN,广东省,440000,深圳市,440300,417,0,226,2
15191,2020-02-23,中国,CN,广东省,440000,深圳市,440300,417,0,237,3
15735,2020-02-24,中国,CN,广东省,440000,深圳市,440300,417,0,249,3
16281,2020-02-25,中国,CN,广东省,440000,深圳市,440300,417,0,262,3
16831,2020-02-26,中国,CN,广东省,440000,深圳市,440300,417,0,262,3
17384,2020-02-27,中国,CN,广东省,440000,深圳市,440300,417,0,281,3
17945,2020-02-28,中国,CN,广东省,440000,深圳市,440300,417,0,281,3
18512,2020-02-29,中国,CN,广东省,440000,深圳市,440300,417,0,299,3
19082,2020-03-01,中国,CN,广东省,440000,深圳市,440300,417,0,308,3
19657,2020-03-02,中国,CN,广东省,440000,深圳市,440300,418,0,320,3
20239,2020-03-03,中国,CN,广东省,440000,深圳市,440300,418,0,332,3
20827,2020-03-04,中国,CN,广东省,440000,深圳市,440300,418,0,341,3
21417,2020-03-05,中国,CN,广东省,440000,深圳市,440300,418,0,350,3
22015,2020-03-06,中国,CN,广东省,440000,深圳市,440300,419,0,358,3
22617,2020-03-07,中国,CN,广东省,440000,深圳市,440300,419,0,361,3
23227,2020-03-08,中国,CN,广东省,440000,深圳市,440300,419,0,368,3
23845,2020-03-09,中国,CN,广东省,440000,深圳市,440300,419,0,373,3
24469,2020-03-10,中国,CN,广东省,440000,深圳市,440300,419,0,381,3
25101,2020-03-11,中国,CN,广东省,440000,深圳市,440300,420,0,387,3
25735,2020-03-12,中国,CN,广东省,440000,深圳市,440300,420,0,392,3
26369,2020-03-13,中国,CN,广东省,440000,深圳市,440300,420,0,395,3
27016,2020-03-14,中国,CN,广东省,440000,深圳市,440300,420,0,396,3
27673,2020-03-15,中国,CN,广东省,440000,深圳市,440300,422,0,399,3
28339,2020-03-16,中国,CN,广东省,440000,深圳市,440300,423,0,401,3
29013,2020-03-17,中国,CN,广东省,440000,深圳市,440300,423,0,401,3
29690,2020-03-18,中国,CN,广东省,440000,深圳市,440300,425,0,403,3
30377,2020-03-19,中国,CN,广东省,440000,深圳市,440300,427,0,403,3
31070,2020-03-20,中国,CN,广东省,440000,深圳市,440300,433,0,409,3
31767,2020-03-21,中国,CN,广东省,440000,深圳市,440300,436,0,410,3
32474,2020-03-22,中国,CN,广东省,440000,深圳市,440300,439,0,411,3
33183,2020-03-23,中国,CN,广东省,440000,深圳市,440300,440,0,413,3
33898,2020-03-24,中国,CN,广东省,440000,深圳市,440300,440,0,414,3
34625,2020-03-25,中国,CN,广东省,440000,深圳市,440300,441,0,414,3
35354,2020-03-26,中国,CN,广东省,440000,深圳市,440300,443,0,415,3
36085,2020-03-27,中国,CN,广东省,440000,深圳市,440300,444,0,415,3
36818,2020-03-28,中国,CN,广东省,440000,深圳市,440300,446,0,416,3
37554,2020-03-29,中国,CN,广东省,440000,深圳市,440300,447,0,416,3
38291,2020-03-30,中国,CN,广东省,440000,深圳市,440300,449,0,416,3
39030,2020-03-31,中国,CN,广东省,440000,深圳市,440300,450,0,416,3
39771,2020-04-01,中国,CN,广东省,440000,深圳市,440300,451,0,417,3
40511,2020-04-02,中国,CN,广东省,440000,深圳市,440300,451,0,419,3
41251,2020-04-03,中国,CN,广东省,440000,深圳市,440300,452,0,419,3
41992,2020-04-04,中国,CN,广东省,440000,深圳市,440300,453,0,419,3
42733,2020-04-05,中国,CN,广东省,440000,深圳市,440300,454,0,419,3
43477,2020-04-06,中国,CN,广东省,440000,深圳市,440300,455,0,420,3
44223,2020-04-07,中国,CN,广东省,440000,深圳市,440300,455,0,420,3
44969,2020-04-08,中国,CN,广东省,440000,深圳市,440300,456,0,421,3
45715,2020-04-09,中国,CN,广东省,440000,深圳市,440300,456,0,422,3
46461,2020-04-10,中国,CN,广东省,440000,深圳市,440300,456,0,423,3
47209,2020-04-11,中国,CN,广东省,440000,深圳市,440300,456,0,423,3
47956,2020-04-12,中国,CN,广东省,440000,深圳市,440300,456,0,423,3
48703,2020-04-13,中国,CN,广东省,440000,深圳市,440300,456,0,423,3
49450,2020-04-14,中国,CN,广东省,440000,深圳市,440300,458,0,424,3
50197,2020-04-15,中国,CN,广东省,440000,深圳市,440300,458,0,424,3
50944,2020-04-16,中国,CN,广东省,440000,深圳市,440300,458,0,429,3
51693,2020-04-17,中国,CN,广东省,440000,深圳市,440300,459,0,429,3
52441,2020-04-18,中国,CN,广东省,440000,深圳市,440300,460,0,429,3
53189,2020-04-19,中国,CN,广东省,440000,深圳市,440300,461,0,431,3
