,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
191,2020-01-21,中国,CN,浙江省,330000,温州市,330300,2,0,0,0
260,2020-01-22,中国,CN,浙江省,330000,温州市,330300,4,0,0,0
383,2020-01-23,中国,CN,浙江省,330000,温州市,330300,1,0,1,0
577,2020-01-24,中国,CN,浙江省,330000,温州市,330300,10,0,1,0
829,2020-01-25,中国,CN,浙江省,330000,温州市,330300,18,0,1,0
1145,2020-01-26,中国,CN,浙江省,330000,温州市,330300,32,0,1,0
1501,2020-01-27,中国,CN,浙江省,330000,温州市,330300,60,0,1,0
1881,2020-01-28,中国,CN,浙江省,330000,温州市,330300,114,0,3,0
2288,2020-01-29,中国,CN,浙江省,330000,温州市,330300,172,0,3,0
2705,2020-01-30,中国,CN,浙江省,330000,温州市,330300,227,0,7,0
3143,2020-01-31,中国,CN,浙江省,330000,温州市,330300,241,0,8,0
3592,2020-02-01,中国,CN,浙江省,330000,温州市,330300,265,0,10,0
4045,2020-02-02,中国,CN,浙江省,330000,温州市,330300,291,0,15,0
4501,2020-02-03,中国,CN,浙江省,330000,温州市,330300,340,0,17,0
4961,2020-02-04,中国,CN,浙江省,330000,温州市,330300,364,0,28,0
5388,2020-02-05,中国,CN,浙江省,330000,温州市,330300,396,0,28,0
5846,2020-02-06,中国,CN,浙江省,330000,温州市,330300,421,0,36,0
6373,2020-02-07,中国,CN,浙江省,330000,温州市,330300,421,0,49,0
6908,2020-02-08,中国,CN,浙江省,330000,温州市,330300,438,0,70,0
7447,2020-02-09,中国,CN,浙江省,330000,温州市,330300,448,0,78,0
7986,2020-02-10,中国,CN,浙江省,330000,温州市,330300,464,0,99,0
8529,2020-02-11,中国,CN,浙江省,330000,温州市,330300,474,0,102,0
9072,2020-02-12,中国,CN,浙江省,330000,温州市,330300,481,0,120,0
9615,2020-02-13,中国,CN,浙江省,330000,温州市,330300,490,0,140,0
10158,2020-02-14,中国,CN,浙江省,330000,温州市,330300,496,0,159,0
10701,2020-02-15,中国,CN,浙江省,330000,温州市,330300,499,0,169,0
11247,2020-02-16,中国,CN,浙江省,330000,温州市,330300,502,0,182,0
11793,2020-02-17,中国,CN,浙江省,330000,温州市,330300,503,0,194,0
12340,2020-02-18,中国,CN,浙江省,330000,温州市,330300,504,0,208,0
12888,2020-02-19,中国,CN,浙江省,330000,温州市,330300,504,0,228,0
13435,2020-02-20,中国,CN,浙江省,330000,温州市,330300,504,0,245,1
13982,2020-02-21,中国,CN,浙江省,330000,温州市,330300,504,0,268,1
14522,2020-02-22,中国,CN,浙江省,330000,温州市,330300,504,0,280,1
15063,2020-02-23,中国,CN,浙江省,330000,温州市,330300,504,0,292,1
15609,2020-02-24,中国,CN,浙江省,330000,温州市,330300,504,0,306,1
16156,2020-02-25,中国,CN,浙江省,330000,温州市,330300,504,0,317,1
16706,2020-02-26,中国,CN,浙江省,330000,温州市,330300,504,0,354,1
17258,2020-02-27,中国,CN,浙江省,330000,温州市,330300,504,0,384,1
17819,2020-02-28,中国,CN,浙江省,330000,温州市,330300,504,0,405,1
18387,2020-02-29,中国,CN,浙江省,330000,温州市,330300,504,0,432,1
18958,2020-03-01,中国,CN,浙江省,330000,温州市,330300,504,0,447,1
19532,2020-03-02,中国,CN,浙江省,330000,温州市,330300,504,0,456,1
20114,2020-03-03,中国,CN,浙江省,330000,温州市,330300,504,0,460,1
20702,2020-03-04,中国,CN,浙江省,330000,温州市,330300,504,0,478,1
21293,2020-03-05,中国,CN,浙江省,330000,温州市,330300,504,0,482,1
21890,2020-03-06,中国,CN,浙江省,330000,温州市,330300,504,0,487,1
22494,2020-03-07,中国,CN,浙江省,330000,温州市,330300,504,0,487,1
23103,2020-03-08,中国,CN,浙江省,330000,温州市,330300,504,0,489,1
23721,2020-03-09,中国,CN,浙江省,330000,温州市,330300,504,0,493,1
24346,2020-03-10,中国,CN,浙江省,330000,温州市,330300,504,0,499,1
24975,2020-03-11,中国,CN,浙江省,330000,温州市,330300,504,0,499,1
25610,2020-03-12,中国,CN,浙江省,330000,温州市,330300,504,0,501,1
