,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
244,2020-01-22,中国,CN,河北省,130000,石家庄市,130100,1,0,0,0
352,2020-01-23,中国,CN,河北省,130000,石家庄市,130100,1,0,0,0
533,2020-01-24,中国,CN,河北省,130000,石家庄市,130100,4,0,0,0
779,2020-01-25,中国,CN,河北省,130000,石家庄市,130100,5,0,0,0
1066,2020-01-26,中国,CN,河北省,130000,石家庄市,130100,7,0,0,0
1418,2020-01-27,中国,CN,河北省,130000,石家庄市,130100,9,24,0,0
1791,2020-01-28,中国,CN,河北省,130000,石家庄市,130100,10,8,0,0
2189,2020-01-29,中国,CN,河北省,130000,石家庄市,130100,11,13,0,0
2606,2020-01-30,中国,CN,河北省,130000,石家庄市,130100,11,14,0,0
3038,2020-01-31,中国,CN,河北省,130000,石家庄市,130100,12,16,0,0
3485,2020-02-01,中国,CN,河北省,130000,石家庄市,130100,13,23,0,0
3939,2020-02-02,中国,CN,河北省,130000,石家庄市,130100,16,15,0,0
4393,2020-02-03,中国,CN,河北省,130000,石家庄市,130100,21,17,0,0
4854,2020-02-04,中国,CN,河北省,130000,石家庄市,130100,21,33,1,0
5281,2020-02-05,中国,CN,河北省,130000,石家庄市,130100,24,29,2,0
5735,2020-02-06,中国,CN,河北省,130000,石家庄市,130100,24,15,3,0
6261,2020-02-07,中国,CN,河北省,130000,石家庄市,130100,24,0,3,0
6795,2020-02-08,中国,CN,河北省,130000,石家庄市,130100,24,0,3,0
7333,2020-02-09,中国,CN,河北省,130000,石家庄市,130100,24,0,3,0
7872,2020-02-10,中国,CN,河北省,130000,石家庄市,130100,25,0,3,0
8415,2020-02-11,中国,CN,河北省,130000,石家庄市,130100,27,0,3,0
8958,2020-02-12,中国,CN,河北省,130000,石家庄市,130100,27,0,3,0
9501,2020-02-13,中国,CN,河北省,130000,石家庄市,130100,27,0,4,0
10044,2020-02-14,中国,CN,河北省,130000,石家庄市,130100,27,0,7,0
10587,2020-02-15,中国,CN,河北省,130000,石家庄市,130100,27,0,7,0
11133,2020-02-16,中国,CN,河北省,130000,石家庄市,130100,28,0,7,0
11679,2020-02-17,中国,CN,河北省,130000,石家庄市,130100,28,0,11,0
12226,2020-02-18,中国,CN,河北省,130000,石家庄市,130100,28,0,11,0
12773,2020-02-19,中国,CN,河北省,130000,石家庄市,130100,28,0,13,0
13321,2020-02-20,中国,CN,河北省,130000,石家庄市,130100,28,0,13,0
13867,2020-02-21,中国,CN,河北省,130000,石家庄市,130100,28,0,15,0
14408,2020-02-22,中国,CN,河北省,130000,石家庄市,130100,29,0,19,0
14948,2020-02-23,中国,CN,河北省,130000,石家庄市,130100,29,0,21,0
15495,2020-02-24,中国,CN,河北省,130000,石家庄市,130100,29,0,21,0
16042,2020-02-25,中国,CN,河北省,130000,石家庄市,130100,29,0,22,0
16592,2020-02-26,中国,CN,河北省,130000,石家庄市,130100,29,0,22,0
17144,2020-02-27,中国,CN,河北省,130000,石家庄市,130100,29,0,24,0
17705,2020-02-28,中国,CN,河北省,130000,石家庄市,130100,29,0,24,0
18272,2020-02-29,中国,CN,河北省,130000,石家庄市,130100,29,0,27,0
18844,2020-03-01,中国,CN,河北省,130000,石家庄市,130100,29,0,27,0
19418,2020-03-02,中国,CN,河北省,130000,石家庄市,130100,29,0,27,0
19999,2020-03-03,中国,CN,河北省,130000,石家庄市,130100,29,0,28,0
20587,2020-03-04,中国,CN,河北省,130000,石家庄市,130100,29,0,28,0
21177,2020-03-05,中国,CN,河北省,130000,石家庄市,130100,29,0,28,0
21773,2020-03-06,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
22377,2020-03-07,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
22986,2020-03-08,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
23603,2020-03-09,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
24228,2020-03-10,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
24857,2020-03-11,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
25493,2020-03-12,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
26127,2020-03-13,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
26775,2020-03-14,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
27432,2020-03-15,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
28097,2020-03-16,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
28770,2020-03-17,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
29448,2020-03-18,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
30133,2020-03-19,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
30823,2020-03-20,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
31521,2020-03-21,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
32224,2020-03-22,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
32935,2020-03-23,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
33646,2020-03-24,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
34373,2020-03-25,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
35102,2020-03-26,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
35833,2020-03-27,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
36566,2020-03-28,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
37302,2020-03-29,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
38039,2020-03-30,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
38777,2020-03-31,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
39518,2020-04-01,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
40259,2020-04-02,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
40999,2020-04-03,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
41740,2020-04-04,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
42481,2020-04-05,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
43224,2020-04-06,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
43970,2020-04-07,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
44716,2020-04-08,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
45462,2020-04-09,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
46208,2020-04-10,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
46955,2020-04-11,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
47703,2020-04-12,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
48450,2020-04-13,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
49197,2020-04-14,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
49944,2020-04-15,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
50691,2020-04-16,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
51438,2020-04-17,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
52187,2020-04-18,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
52935,2020-04-19,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
53683,2020-04-20,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
54431,2020-04-21,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
55179,2020-04-22,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
55927,2020-04-23,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
56675,2020-04-24,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
57423,2020-04-25,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
58171,2020-04-26,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
58919,2020-04-27,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
59667,2020-04-28,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
60415,2020-04-29,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
61163,2020-04-30,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
61912,2020-05-01,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
62662,2020-05-02,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
63412,2020-05-03,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
64155,2020-05-04,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
64904,2020-05-05,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
65653,2020-05-06,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
66402,2020-05-07,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
67151,2020-05-08,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
67900,2020-05-09,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
68649,2020-05-10,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
69398,2020-05-11,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
70148,2020-05-12,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
70897,2020-05-13,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
71647,2020-05-14,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
72397,2020-05-15,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
73147,2020-05-16,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
73897,2020-05-17,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
74648,2020-05-18,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
75399,2020-05-19,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
76150,2020-05-20,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
76901,2020-05-21,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
77652,2020-05-22,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
78403,2020-05-23,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
79154,2020-05-24,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
79905,2020-05-25,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
80655,2020-05-26,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
81405,2020-05-27,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
82155,2020-05-28,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
82905,2020-05-29,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
83655,2020-05-30,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
84405,2020-05-31,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
85154,2020-06-01,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
85903,2020-06-02,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
86652,2020-06-03,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
87402,2020-06-04,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
88152,2020-06-05,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
88902,2020-06-06,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
89652,2020-06-07,中国,CN,河北省,130000,石家庄市,130100,29,0,29,0
