,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
430,2020-01-23,中国,CN,湖北省,420000,荆州市,421000,8,0,0,0
646,2020-01-24,中国,CN,湖北省,420000,荆州市,421000,10,0,0,0
908,2020-01-25,中国,CN,湖北省,420000,荆州市,421000,33,0,0,2
1233,2020-01-26,中国,CN,湖北省,420000,荆州市,421000,47,0,0,2
1592,2020-01-27,中国,CN,湖北省,420000,荆州市,421000,71,0,0,2
1973,2020-01-28,中国,CN,湖北省,420000,荆州市,421000,101,0,0,2
2383,2020-01-29,中国,CN,湖北省,420000,荆州市,421000,151,0,0,3
2802,2020-01-30,中国,CN,湖北省,420000,荆州市,421000,221,0,0,3
3241,2020-01-31,中国,CN,湖北省,420000,荆州市,421000,287,0,0,4
3691,2020-02-01,中国,CN,湖北省,420000,荆州市,421000,333,0,0,4
4141,2020-02-02,中国,CN,湖北省,420000,荆州市,421000,499,0,0,6
4597,2020-02-03,中国,CN,湖北省,420000,荆州市,421000,613,0,0,7
5054,2020-02-04,中国,CN,湖北省,420000,荆州市,421000,713,0,0,9
5481,2020-02-05,中国,CN,湖北省,420000,荆州市,421000,801,0,0,10
5939,2020-02-06,中国,CN,湖北省,420000,荆州市,421000,885,0,0,10
6469,2020-02-07,中国,CN,湖北省,420000,荆州市,421000,885,0,22,10
7004,2020-02-08,中国,CN,湖北省,420000,荆州市,421000,941,0,30,11
7543,2020-02-09,中国,CN,湖北省,420000,荆州市,421000,997,0,41,13
8084,2020-02-10,中国,CN,湖北省,420000,荆州市,421000,1045,0,46,15
8627,2020-02-11,中国,CN,湖北省,420000,荆州市,421000,1075,0,56,17
9170,2020-02-12,中国,CN,湖北省,420000,荆州市,421000,1110,0,80,21
9713,2020-02-13,中国,CN,湖北省,420000,荆州市,421000,1431,0,104,23
10256,2020-02-14,中国,CN,湖北省,420000,荆州市,421000,1447,0,161,27
10799,2020-02-15,中国,CN,湖北省,420000,荆州市,421000,1478,0,193,32
11345,2020-02-16,中国,CN,湖北省,420000,荆州市,421000,1490,0,263,36
11892,2020-02-17,中国,CN,湖北省,420000,荆州市,421000,1501,0,305,37
12439,2020-02-18,中国,CN,湖北省,420000,荆州市,421000,1537,0,339,38
12987,2020-02-19,中国,CN,湖北省,420000,荆州市,421000,1541,0,409,38
13534,2020-02-20,中国,CN,湖北省,420000,荆州市,421000,1510,0,451,40
14079,2020-02-21,中国,CN,湖北省,420000,荆州市,421000,1560,0,531,40
14622,2020-02-22,中国,CN,湖北省,420000,荆州市,421000,1566,0,612,40
15163,2020-02-23,中国,CN,湖北省,420000,荆州市,421000,1574,0,681,41
15707,2020-02-24,中国,CN,湖北省,420000,荆州市,421000,1574,0,734,42
16253,2020-02-25,中国,CN,湖北省,420000,荆州市,421000,1576,0,776,42
16803,2020-02-26,中国,CN,湖北省,420000,荆州市,421000,1577,0,822,44
17356,2020-02-27,中国,CN,湖北省,420000,荆州市,421000,1579,0,877,45
17917,2020-02-28,中国,CN,湖北省,420000,荆州市,421000,1579,0,913,46
18484,2020-02-29,中国,CN,湖北省,420000,荆州市,421000,1579,0,965,46
19054,2020-03-01,中国,CN,湖北省,420000,荆州市,421000,1579,0,1034,46
19629,2020-03-02,中国,CN,湖北省,420000,荆州市,421000,1580,0,1096,48
20211,2020-03-03,中国,CN,湖北省,420000,荆州市,421000,1580,0,1144,48
20799,2020-03-04,中国,CN,湖北省,420000,荆州市,421000,1580,0,1215,48
21389,2020-03-05,中国,CN,湖北省,420000,荆州市,421000,1580,0,1269,48
21987,2020-03-06,中国,CN,湖北省,420000,荆州市,421000,1580,0,1326,48
22589,2020-03-07,中国,CN,湖北省,420000,荆州市,421000,1580,0,1350,48
23199,2020-03-08,中国,CN,湖北省,420000,荆州市,421000,1580,0,1376,49
23817,2020-03-09,中国,CN,湖北省,420000,荆州市,421000,1580,0,1410,49
24441,2020-03-10,中国,CN,湖北省,420000,荆州市,421000,1580,0,1431,49
25073,2020-03-11,中国,CN,湖北省,420000,荆州市,421000,1580,0,1442,49
25707,2020-03-12,中国,CN,湖北省,420000,荆州市,421000,1580,0,1452,49
26341,2020-03-13,中国,CN,湖北省,420000,荆州市,421000,1580,0,1464,49
26988,2020-03-14,中国,CN,湖北省,420000,荆州市,421000,1580,0,1474,50
27645,2020-03-15,中国,CN,湖北省,420000,荆州市,421000,1580,0,1483,50
28311,2020-03-16,中国,CN,湖北省,420000,荆州市,421000,1580,0,1492,50
28985,2020-03-17,中国,CN,湖北省,420000,荆州市,421000,1580,0,1498,50
29662,2020-03-18,中国,CN,湖北省,420000,荆州市,421000,1580,0,1499,50
30349,2020-03-19,中国,CN,湖北省,420000,荆州市,421000,1580,0,1502,50
31042,2020-03-20,中国,CN,湖北省,420000,荆州市,421000,1580,0,1517,50
31739,2020-03-21,中国,CN,湖北省,420000,荆州市,421000,1580,0,1525,51
32446,2020-03-22,中国,CN,湖北省,420000,荆州市,421000,1580,0,1525,51
33155,2020-03-23,中国,CN,湖北省,420000,荆州市,421000,1580,0,1525,51
33868,2020-03-24,中国,CN,湖北省,420000,荆州市,421000,1580,0,1526,51
34595,2020-03-25,中国,CN,湖北省,420000,荆州市,421000,1580,0,1527,51
35324,2020-03-26,中国,CN,湖北省,420000,荆州市,421000,1580,0,1527,52
36055,2020-03-27,中国,CN,湖北省,420000,荆州市,421000,1580,0,1527,52
36788,2020-03-28,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
37524,2020-03-29,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
38261,2020-03-30,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
39000,2020-03-31,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
39741,2020-04-01,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
40481,2020-04-02,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
41221,2020-04-03,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
41962,2020-04-04,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
42703,2020-04-05,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
43447,2020-04-06,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
44193,2020-04-07,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
44939,2020-04-08,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
45685,2020-04-09,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
46431,2020-04-10,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
47179,2020-04-11,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
47926,2020-04-12,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
48673,2020-04-13,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
49420,2020-04-14,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
50167,2020-04-15,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
50914,2020-04-16,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
51663,2020-04-17,中国,CN,湖北省,420000,荆州市,421000,1580,0,1528,52
