,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
643,2020-01-24,中国,CN,湖北省,420000,鄂州市,420700,1,0,0,0
905,2020-01-25,中国,CN,湖北省,420000,鄂州市,420700,1,0,0,0
1230,2020-01-26,中国,CN,湖北省,420000,鄂州市,420700,20,0,0,0
1589,2020-01-27,中国,CN,湖北省,420000,鄂州市,420700,57,0,0,0
1970,2020-01-28,中国,CN,湖北省,420000,鄂州市,420700,84,0,0,1
2380,2020-01-29,中国,CN,湖北省,420000,鄂州市,420700,123,0,0,2
2799,2020-01-30,中国,CN,湖北省,420000,鄂州市,420700,189,0,0,6
3238,2020-01-31,中国,CN,湖北省,420000,鄂州市,420700,227,0,0,9
3688,2020-02-01,中国,CN,湖北省,420000,鄂州市,420700,278,0,0,13
4138,2020-02-02,中国,CN,湖北省,420000,鄂州市,420700,306,0,0,15
4594,2020-02-03,中国,CN,湖北省,420000,鄂州市,420700,332,0,0,18
5051,2020-02-04,中国,CN,湖北省,420000,鄂州市,420700,382,0,0,18
5478,2020-02-05,中国,CN,湖北省,420000,鄂州市,420700,423,0,0,18
5936,2020-02-06,中国,CN,湖北省,420000,鄂州市,420700,471,0,0,18
6466,2020-02-07,中国,CN,湖北省,420000,鄂州市,420700,471,0,9,18
7001,2020-02-08,中国,CN,湖北省,420000,鄂州市,420700,569,0,33,20
7540,2020-02-09,中国,CN,湖北省,420000,鄂州市,420700,639,0,42,21
8081,2020-02-10,中国,CN,湖北省,420000,鄂州市,420700,725,0,48,24
8624,2020-02-11,中国,CN,湖北省,420000,鄂州市,420700,790,0,61,26
9167,2020-02-12,中国,CN,湖北省,420000,鄂州市,420700,861,0,72,28
9710,2020-02-13,中国,CN,湖北省,420000,鄂州市,420700,1065,0,96,30
10253,2020-02-14,中国,CN,湖北省,420000,鄂州市,420700,1125,0,116,32
10796,2020-02-15,中国,CN,湖北省,420000,鄂州市,420700,1192,0,199,33
11342,2020-02-16,中国,CN,湖北省,420000,鄂州市,420700,1230,0,222,34
11889,2020-02-17,中国,CN,湖北省,420000,鄂州市,420700,1274,0,244,35
12436,2020-02-18,中国,CN,湖北省,420000,鄂州市,420700,1339,0,265,36
12984,2020-02-19,中国,CN,湖北省,420000,鄂州市,420700,1343,0,301,37
13531,2020-02-20,中国,CN,湖北省,420000,鄂州市,420700,1338,0,350,38
14076,2020-02-21,中国,CN,湖北省,420000,鄂州市,420700,1373,0,375,39
14619,2020-02-22,中国,CN,湖北省,420000,鄂州市,420700,1375,0,386,39
15160,2020-02-23,中国,CN,湖北省,420000,鄂州市,420700,1379,0,417,40
15704,2020-02-24,中国,CN,湖北省,420000,鄂州市,420700,1383,0,470,40
16250,2020-02-25,中国,CN,湖北省,420000,鄂州市,420700,1385,0,502,41
