,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
205,2020-01-21,中国,CN,湖南省,430000,长沙市,430100,1,0,0,0
283,2020-01-22,中国,CN,湖南省,430000,长沙市,430100,1,0,0,0
434,2020-01-23,中国,CN,湖南省,430000,长沙市,430100,8,0,0,0
653,2020-01-24,中国,CN,湖南省,430000,长沙市,430100,8,0,0,0
916,2020-01-25,中国,CN,湖南省,430000,长沙市,430100,18,0,0,0
1242,2020-01-26,中国,CN,湖南省,430000,长沙市,430100,22,0,0,0
1602,2020-01-27,中国,CN,湖南省,430000,长沙市,430100,24,0,0,0
1983,2020-01-28,中国,CN,湖南省,430000,长沙市,430100,46,0,0,0
2393,2020-01-29,中国,CN,湖南省,430000,长沙市,430100,57,0,0,0
2812,2020-01-30,中国,CN,湖南省,430000,长沙市,430100,68,0,1,0
3251,2020-01-31,中国,CN,湖南省,430000,长沙市,430100,86,0,1,0
3701,2020-02-01,中国,CN,湖南省,430000,长沙市,430100,112,0,1,0
4151,2020-02-02,中国,CN,湖南省,430000,长沙市,430100,125,0,2,0
4607,2020-02-03,中国,CN,湖南省,430000,长沙市,430100,148,0,2,0
5064,2020-02-04,中国,CN,湖南省,430000,长沙市,430100,164,0,6,0
5491,2020-02-05,中国,CN,湖南省,430000,长沙市,430100,179,0,8,0
5949,2020-02-06,中国,CN,湖南省,430000,长沙市,430100,190,0,10,0
6479,2020-02-07,中国,CN,湖南省,430000,长沙市,430100,190,0,18,0
7014,2020-02-08,中国,CN,湖南省,430000,长沙市,430100,196,0,27,0
7553,2020-02-09,中国,CN,湖南省,430000,长沙市,430100,205,0,33,0
8094,2020-02-10,中国,CN,湖南省,430000,长沙市,430100,213,0,39,0
8637,2020-02-11,中国,CN,湖南省,430000,长沙市,430100,219,0,48,0
9180,2020-02-12,中国,CN,湖南省,430000,长沙市,430100,223,0,56,0
9723,2020-02-13,中国,CN,湖南省,430000,长沙市,430100,228,0,63,0
10266,2020-02-14,中国,CN,湖南省,430000,长沙市,430100,238,0,66,0
10809,2020-02-15,中国,CN,湖南省,430000,长沙市,430100,241,0,73,0
11355,2020-02-16,中国,CN,湖南省,430000,长沙市,430100,241,0,89,1
11902,2020-02-17,中国,CN,湖南省,430000,长沙市,430100,241,0,92,1
12449,2020-02-18,中国,CN,湖南省,430000,长沙市,430100,241,0,92,2
12997,2020-02-19,中国,CN,湖南省,430000,长沙市,430100,241,0,98,2
13544,2020-02-20,中国,CN,湖南省,430000,长沙市,430100,242,0,125,2
14089,2020-02-21,中国,CN,湖南省,430000,长沙市,430100,242,0,125,2
14632,2020-02-22,中国,CN,湖南省,430000,长沙市,430100,242,0,130,2
15173,2020-02-23,中国,CN,湖南省,430000,长沙市,430100,242,0,141,2
15717,2020-02-24,中国,CN,湖南省,430000,长沙市,430100,242,0,143,2
16263,2020-02-25,中国,CN,湖南省,430000,长沙市,430100,242,0,152,2
16813,2020-02-26,中国,CN,湖南省,430000,长沙市,430100,242,0,159,2
17366,2020-02-27,中国,CN,湖南省,430000,长沙市,430100,242,0,164,2
17927,2020-02-28,中国,CN,湖南省,430000,长沙市,430100,242,0,172,2
18494,2020-02-29,中国,CN,湖南省,430000,长沙市,430100,242,0,174,2
19064,2020-03-01,中国,CN,湖南省,430000,长沙市,430100,242,0,178,2
19639,2020-03-02,中国,CN,湖南省,430000,长沙市,430100,242,0,185,2
20221,2020-03-03,中国,CN,湖南省,430000,长沙市,430100,242,0,186,2
20809,2020-03-04,中国,CN,湖南省,430000,长沙市,430100,242,0,192,2
21399,2020-03-05,中国,CN,湖南省,430000,长沙市,430100,242,0,201,2
21997,2020-03-06,中国,CN,湖南省,430000,长沙市,430100,242,0,207,2
22599,2020-03-07,中国,CN,湖南省,430000,长沙市,430100,242,0,209,2
23209,2020-03-08,中国,CN,湖南省,430000,长沙市,430100,242,0,213,2
23827,2020-03-09,中国,CN,湖南省,430000,长沙市,430100,242,0,216,2
24451,2020-03-10,中国,CN,湖南省,430000,长沙市,430100,242,0,224,2
25083,2020-03-11,中国,CN,湖南省,430000,长沙市,430100,242,0,229,2
25717,2020-03-12,中国,CN,湖南省,430000,长沙市,430100,242,0,232,2
26351,2020-03-13,中国,CN,湖南省,430000,长沙市,430100,242,0,236,2
26998,2020-03-14,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
27655,2020-03-15,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
28321,2020-03-16,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
28995,2020-03-17,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
29672,2020-03-18,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
30359,2020-03-19,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
31052,2020-03-20,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
31749,2020-03-21,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
32456,2020-03-22,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
33165,2020-03-23,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
33879,2020-03-24,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
34606,2020-03-25,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
35335,2020-03-26,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
36066,2020-03-27,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
36799,2020-03-28,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
37535,2020-03-29,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
38272,2020-03-30,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
39011,2020-03-31,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
39752,2020-04-01,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
40492,2020-04-02,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
41232,2020-04-03,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
41973,2020-04-04,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
42714,2020-04-05,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
43458,2020-04-06,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
44204,2020-04-07,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
44950,2020-04-08,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
45696,2020-04-09,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
46442,2020-04-10,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
47190,2020-04-11,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
47937,2020-04-12,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
48684,2020-04-13,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
49431,2020-04-14,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
50178,2020-04-15,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
50925,2020-04-16,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
51674,2020-04-17,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
52422,2020-04-18,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
53170,2020-04-19,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
53918,2020-04-20,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
54666,2020-04-21,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
55414,2020-04-22,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
56162,2020-04-23,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
56910,2020-04-24,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
57658,2020-04-25,中国,CN,湖南省,430000,长沙市,430100,242,0,240,2
