,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
431,2020-01-23,中国,CN,湖北省,420000,黄冈市,421100,12,0,0,0
647,2020-01-24,中国,CN,湖北省,420000,黄冈市,421100,64,0,0,0
909,2020-01-25,中国,CN,湖北省,420000,黄冈市,421100,122,0,2,2
1234,2020-01-26,中国,CN,湖北省,420000,黄冈市,421100,154,0,2,4
1593,2020-01-27,中国,CN,湖北省,420000,黄冈市,421100,213,0,0,4
1974,2020-01-28,中国,CN,湖北省,420000,黄冈市,421100,324,0,0,5
2384,2020-01-29,中国,CN,湖北省,420000,黄冈市,421100,496,0,0,12
2803,2020-01-30,中国,CN,湖北省,420000,黄冈市,421100,573,0,0,12
3242,2020-01-31,中国,CN,湖北省,420000,黄冈市,421100,726,0,0,14
3692,2020-02-01,中国,CN,湖北省,420000,黄冈市,421100,1002,0,0,15
4142,2020-02-02,中国,CN,湖北省,420000,黄冈市,421100,1246,0,0,17
4598,2020-02-03,中国,CN,湖北省,420000,黄冈市,421100,1422,0,0,19
5055,2020-02-04,中国,CN,湖北省,420000,黄冈市,421100,1645,0,0,25
5482,2020-02-05,中国,CN,湖北省,420000,黄冈市,421100,1807,0,0,29
5940,2020-02-06,中国,CN,湖北省,420000,黄冈市,421100,1897,0,0,32
6470,2020-02-07,中国,CN,湖北省,420000,黄冈市,421100,1897,0,68,32
7005,2020-02-08,中国,CN,湖北省,420000,黄冈市,421100,2041,0,105,36
7544,2020-02-09,中国,CN,湖北省,420000,黄冈市,421100,2141,0,137,43
8085,2020-02-10,中国,CN,湖北省,420000,黄冈市,421100,2252,0,189,45
8628,2020-02-11,中国,CN,湖北省,420000,黄冈市,421100,2332,0,279,52
9171,2020-02-12,中国,CN,湖北省,420000,黄冈市,421100,2398,0,338,54
9714,2020-02-13,中国,CN,湖北省,420000,黄冈市,421100,2662,0,427,58
10257,2020-02-14,中国,CN,湖北省,420000,黄冈市,421100,2791,0,504,59
10800,2020-02-15,中国,CN,湖北省,420000,黄冈市,421100,2817,0,611,68
11346,2020-02-16,中国,CN,湖北省,420000,黄冈市,421100,2823,0,716,75
11893,2020-02-17,中国,CN,湖北省,420000,黄冈市,421100,2831,0,838,78
12440,2020-02-18,中国,CN,湖北省,420000,黄冈市,421100,2828,0,941,84
12988,2020-02-19,中国,CN,湖北省,420000,黄冈市,421100,2844,0,1059,85
13535,2020-02-20,中国,CN,湖北省,420000,黄冈市,421100,2839,0,1149,87
14080,2020-02-21,中国,CN,湖北省,420000,黄冈市,421100,2883,0,1274,90
14623,2020-02-22,中国,CN,湖北省,420000,黄冈市,421100,2899,0,1408,95
15164,2020-02-23,中国,CN,湖北省,420000,黄冈市,421100,2904,0,1540,98
15708,2020-02-24,中国,CN,湖北省,420000,黄冈市,421100,2904,0,1659,103
16254,2020-02-25,中国,CN,湖北省,420000,黄冈市,421100,2904,0,1780,106
16804,2020-02-26,中国,CN,湖北省,420000,黄冈市,421100,2904,0,1852,107
17357,2020-02-27,中国,CN,湖北省,420000,黄冈市,421100,2904,0,1952,110
17918,2020-02-28,中国,CN,湖北省,420000,黄冈市,421100,2904,0,2041,114
18485,2020-02-29,中国,CN,湖北省,420000,黄冈市,421100,2904,0,2119,115
19055,2020-03-01,中国,CN,湖北省,420000,黄冈市,421100,2905,0,2171,115
19630,2020-03-02,中国,CN,湖北省,420000,黄冈市,421100,2905,0,2260,116
20212,2020-03-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2343,119
20800,2020-03-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2406,121
21390,2020-03-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2472,121
21988,2020-03-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2527,122
22590,2020-03-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2582,125
23200,2020-03-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2632,125
23818,2020-03-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2641,125
24442,2020-03-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2660,125
25074,2020-03-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2684,125
25708,2020-03-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2708,125
26342,2020-03-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2722,125
26989,2020-03-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2730,125
27646,2020-03-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2738,125
28312,2020-03-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2750,125
28986,2020-03-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2765,125
29663,2020-03-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
30350,2020-03-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
31043,2020-03-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
31740,2020-03-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
32447,2020-03-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
33156,2020-03-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
33869,2020-03-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
34596,2020-03-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
35325,2020-03-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
36056,2020-03-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
36789,2020-03-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
37525,2020-03-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
38262,2020-03-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
39001,2020-03-31,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
39742,2020-04-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
40482,2020-04-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
41222,2020-04-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
41963,2020-04-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
42704,2020-04-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
43448,2020-04-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
44194,2020-04-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
44940,2020-04-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
45686,2020-04-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
46432,2020-04-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
47180,2020-04-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
47927,2020-04-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
48674,2020-04-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
49421,2020-04-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
50168,2020-04-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
50915,2020-04-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
51664,2020-04-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
52412,2020-04-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
53160,2020-04-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
53908,2020-04-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
54656,2020-04-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
55404,2020-04-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
56152,2020-04-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
56900,2020-04-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
57648,2020-04-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
58396,2020-04-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
59144,2020-04-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
59892,2020-04-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
60640,2020-04-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
61388,2020-04-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
62137,2020-05-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
62887,2020-05-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
63637,2020-05-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
64380,2020-05-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
65129,2020-05-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
65878,2020-05-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
66627,2020-05-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
67376,2020-05-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
68125,2020-05-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
68874,2020-05-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
69623,2020-05-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
70373,2020-05-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
71122,2020-05-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
71872,2020-05-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
72622,2020-05-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
73372,2020-05-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
74123,2020-05-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
74874,2020-05-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
75625,2020-05-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
76376,2020-05-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
77127,2020-05-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
77878,2020-05-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
78629,2020-05-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
79380,2020-05-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
80130,2020-05-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
80880,2020-05-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
81630,2020-05-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
82380,2020-05-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
83130,2020-05-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
83880,2020-05-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
84629,2020-05-31,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
85378,2020-06-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
86127,2020-06-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
86877,2020-06-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
87627,2020-06-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
88377,2020-06-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
89127,2020-06-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
89877,2020-06-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
90627,2020-06-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
91377,2020-06-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
92127,2020-06-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
92877,2020-06-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
93627,2020-06-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
94377,2020-06-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
95127,2020-06-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
95878,2020-06-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
96632,2020-06-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
97386,2020-06-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
98140,2020-06-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
98894,2020-06-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
99648,2020-06-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
100402,2020-06-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
101156,2020-06-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
101909,2020-06-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
102662,2020-06-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
103415,2020-06-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
104168,2020-06-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
104921,2020-06-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
105674,2020-06-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
106427,2020-06-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
107181,2020-06-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
107935,2020-07-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
108689,2020-07-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
109443,2020-07-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
110197,2020-07-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
110951,2020-07-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
111705,2020-07-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
112459,2020-07-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
113214,2020-07-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
113968,2020-07-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
114722,2020-07-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
115476,2020-07-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
116230,2020-07-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
116984,2020-07-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
117738,2020-07-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
118492,2020-07-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
119246,2020-07-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
120000,2020-07-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
120754,2020-07-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
121509,2020-07-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
122263,2020-07-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
123017,2020-07-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
123772,2020-07-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
124527,2020-07-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
125282,2020-07-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
126038,2020-07-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
126793,2020-07-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
127547,2020-07-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
128302,2020-07-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
129056,2020-07-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
129810,2020-07-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
130564,2020-07-31,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
131318,2020-08-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
132072,2020-08-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
132827,2020-08-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
133582,2020-08-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
134337,2020-08-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
135091,2020-08-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
135845,2020-08-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
136600,2020-08-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
137355,2020-08-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
138110,2020-08-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
138866,2020-08-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
139621,2020-08-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
140376,2020-08-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
141131,2020-08-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
141886,2020-08-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
142642,2020-08-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
143398,2020-08-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
144153,2020-08-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
144909,2020-08-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
145665,2020-08-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
146421,2020-08-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
147176,2020-08-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
147930,2020-08-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
148684,2020-08-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
149439,2020-08-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
150194,2020-08-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
150948,2020-08-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
151702,2020-08-28,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
152456,2020-08-29,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
153210,2020-08-30,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
153966,2020-08-31,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
154722,2020-09-01,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
155476,2020-09-02,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
156230,2020-09-03,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
156984,2020-09-04,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
157738,2020-09-05,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
158492,2020-09-06,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
159246,2020-09-07,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
160000,2020-09-08,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
160755,2020-09-09,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
161510,2020-09-10,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
162265,2020-09-11,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
163019,2020-09-12,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
163773,2020-09-13,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
164528,2020-09-14,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
165283,2020-09-15,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
166037,2020-09-16,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
166791,2020-09-17,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
167545,2020-09-18,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
168299,2020-09-19,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
169053,2020-09-20,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
169807,2020-09-21,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
170562,2020-09-22,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
171317,2020-09-23,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
172071,2020-09-24,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
172825,2020-09-25,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
173579,2020-09-26,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
174334,2020-09-27,中国,CN,湖北省,420000,黄冈市,421100,2907,0,2782,125
